13	GO:0005575|GO:0005576|GO:0005622|GO:0005623|GO:0005737|GO:0005794|GO:0005829|GO:0005856|GO:0005874|GO:0005884|GO:0005886|GO:0012505|GO:0015629|GO:0015630|GO:0016020|GO:0016342|GO:0019897|GO:0019898|GO:0030027|GO:0030496|GO:0031252|GO:0031253|GO:0031256|GO:0031258|GO:0032991|GO:0042995|GO:0043226|GO:0043227|GO:0043228|GO:0043229|GO:0043231|GO:0043232|GO:0044421|GO:0044422|GO:0044424|GO:0044425|GO:0044430|GO:0044444|GO:0044446|GO:0044459|GO:0044463|GO:0044464|GO:0045171|GO:0048471|GO:0071944|GO:0098590|GO:0098796|GO:0098797|GO:0099080|GO:0099081|GO:0099512|GO:0099513|GO:0120025|GO:0120038
14	GO:0000775|GO:0000776|GO:0001726|GO:0005575|GO:0005622|GO:0005623|GO:0005634|GO:0005654|GO:0005694|GO:0005737|GO:0005813|GO:0005815|GO:0005829|GO:0005856|GO:0005874|GO:0005886|GO:0005911|GO:0005912|GO:0005923|GO:0015630|GO:0016020|GO:0016328|GO:0016342|GO:0019897|GO:0019898|GO:0030027|GO:0030054|GO:0030877|GO:0031252|GO:0031253|GO:0031256|GO:0031974|GO:0031981|GO:0032587|GO:0032991|GO:0042995|GO:0043226|GO:0043227|GO:0043228|GO:0043229|GO:0043231|GO:0043232|GO:0043233|GO:0043296|GO:0044422|GO:0044424|GO:0044425|GO:0044427|GO:0044428|GO:0044430|GO:0044444|GO:0044446|GO:0044459|GO:0044463|GO:0044464|GO:0048471|GO:0070013|GO:0070160|GO:0070161|GO:0071944|GO:0098590|GO:0098687|GO:0098796|GO:0098797|GO:0099080|GO:0099081|GO:0099512|GO:0099513|GO:0120025|GO:0120038|GO:1990909
15	GO:0005575|GO:0005576|GO:0005615|GO:0005622|GO:0005623|GO:0005634|GO:0005737|GO:0005768|GO:0005769|GO:0005783|GO:0005788|GO:0005829|GO:0005886|GO:0009986|GO:0012505|GO:0016020|GO:0030139|GO:0030141|GO:0031410|GO:0031974|GO:0031982|GO:0031983|GO:0032991|GO:0032994|GO:0034358|GO:0034361|GO:0034362|GO:0034363|GO:0034364|GO:0034365|GO:0034366|GO:0034385|GO:0034774|GO:0042627|GO:0043226|GO:0043227|GO:0043229|GO:0043231|GO:0043233|GO:0044421|GO:0044422|GO:0044424|GO:0044432|GO:0044433|GO:0044444|GO:0044446|GO:0044464|GO:0060205|GO:0070013|GO:0071682|GO:0071944|GO:0097708|GO:0099503|GO:1990777
16	GO:0000139|GO:0005575|GO:0005576|GO:0005615|GO:0005622|GO:0005623|GO:0005634|GO:0005635|GO:0005641|GO:0005737|GO:0005768|GO:0005769|GO:0005783|GO:0005788|GO:0005790|GO:0005791|GO:0005794|GO:0005796|GO:0005798|GO:0005802|GO:0005819|GO:0005829|GO:0005856|GO:0005886|GO:0005887|GO:0005905|GO:0005911|GO:0005929|GO:0009986|GO:0012505|GO:0015630|GO:0016020|GO:0016021|GO:0030027|GO:0030054|GO:0030133|GO:0030134|GO:0030135|GO:0030141|GO:0030175|GO:0030424|GO:0030425|GO:0030426|GO:0030427|GO:0031090|GO:0031091|GO:0031093|GO:0031224|GO:0031226|GO:0031252|GO:0031410|GO:0031594|GO:0031904|GO:0031967|GO:0031970|GO:0031974|GO:0031975|GO:0031982|GO:0031983|GO:0031984|GO:0032588|GO:0032991|GO:0032994|GO:0033267|GO:0034358|GO:0034363|GO:0034364|GO:0034385|GO:0034774|GO:0035253|GO:0036477|GO:0042995|GO:0043005|GO:0043197|GO:0043198|GO:0043226|GO:0043227|GO:0043228|GO:0043229|GO:0043231|GO:0043232|GO:0043233|GO:0043235|GO:0044304|GO:0044309|GO:0044421|GO:0044422|GO:0044424|GO:0044425|GO:0044428|GO:0044430|GO:0044431|GO:0044432|GO:0044433|GO:0044440|GO:0044441|GO:0044444|GO:0044446|GO:0044456|GO:0044459|GO:0044463|GO:0044464|GO:0045121|GO:0045177|GO:0045202|GO:0048471|GO:0051233|GO:0060205|GO:0070013|GO:0070381|GO:0070382|GO:0071944|GO:0090723|GO:0097386|GO:0097447|GO:0097449|GO:0097458|GO:0097708|GO:0098588|GO:0098589|GO:0098791|GO:0098794|GO:0098805|GO:0098857|GO:0098858|GO:0099503|GO:0106003|GO:0120025|GO:0120038|GO:0150034|GO:1990761|GO:1990777|GO:1990812
17	GO:0005575|GO:0005622|GO:0005623|GO:0005737|GO:0005829|GO:0005856|GO:0005885|GO:0015629|GO:0032991|GO:0036284|GO:0043226|GO:0043228|GO:0043229|GO:0043232|GO:0044422|GO:0044424|GO:0044430|GO:0044444|GO:0044446|GO:0044464
18	GO:0005575|GO:0005622|GO:0005623|GO:0005737|GO:0005794|GO:0005886|GO:0005887|GO:0009986|GO:0012505|GO:0016020|GO:0016021|GO:0031224|GO:0031226|GO:0043226|GO:0043227|GO:0043229|GO:0043231|GO:0044424|GO:0044425|GO:0044444|GO:0044459|GO:0044464|GO:0045202|GO:0071944
19	GO:0005575|GO:0005622|GO:0005623|GO:0005737|GO:0005886|GO:0005887|GO:0016020|GO:0016021|GO:0031224|GO:0031226|GO:0044424|GO:0044425|GO:0044459|GO:0044464|GO:0071944
20	GO:0000407|GO:0000421|GO:0005575|GO:0005622|GO:0005623|GO:0005737|GO:0005773|GO:0005774|GO:0005776|GO:0005829|GO:0005856|GO:0005929|GO:0005930|GO:0016020|GO:0031090|GO:0032838|GO:0034045|GO:0042995|GO:0043226|GO:0043227|GO:0043228|GO:0043229|GO:0043231|GO:0043232|GO:0044422|GO:0044424|GO:0044430|GO:0044437|GO:0044441|GO:0044444|GO:0044446|GO:0044463|GO:0044464|GO:0097014|GO:0098588|GO:0098805|GO:0099568|GO:0120025|GO:0120038
21	GO:0000139|GO:0005575|GO:0005622|GO:0005623|GO:0005737|GO:0005739|GO:0005768|GO:0005770|GO:0005794|GO:0005802|GO:0005886|GO:0005887|GO:0012505|GO:0016020|GO:0016021|GO:0031090|GO:0031224|GO:0031226|GO:0031410|GO:0031982|GO:0031984|GO:0032588|GO:0043226|GO:0043227|GO:0043229|GO:0043231|GO:0044422|GO:0044424|GO:0044425|GO:0044431|GO:0044444|GO:0044446|GO:0044459|GO:0044464|GO:0071944|GO:0097708|GO:0098588|GO:0098791
22	GO:0005575|GO:0005622|GO:0005623|GO:0005737|GO:0005783|GO:0005886|GO:0005887|GO:0012505|GO:0016020|GO:0016021|GO:0031224|GO:0031226|GO:0042995|GO:0043005|GO:0043226|GO:0043227|GO:0043229|GO:0043231|GO:0044424|GO:0044425|GO:0044444|GO:0044459|GO:0044464|GO:0071944|GO:0097458|GO:0120025
