15	GO:0001540|GO:0003674|GO:0004857|GO:0005102|GO:0005215|GO:0005319|GO:0005488|GO:0005496|GO:0005515|GO:0005543|GO:0005548|GO:0008035|GO:0008047|GO:0008289|GO:0015248|GO:0015485|GO:0017127|GO:0019899|GO:0030234|GO:0030545|GO:0031072|GO:0031210|GO:0032934|GO:0033218|GO:0034190|GO:0034191|GO:0036094|GO:0042277|GO:0042802|GO:0043167|GO:0043168|GO:0043169|GO:0043178|GO:0044877|GO:0045499|GO:0048018|GO:0050997|GO:0055102|GO:0060228|GO:0070325|GO:0070405|GO:0070653|GO:0071813|GO:0071814|GO:0097159|GO:0098772
16	GO:0001664|GO:0003674|GO:0003676|GO:0003677|GO:0004857|GO:0004866|GO:0004867|GO:0005102|GO:0005109|GO:0005158|GO:0005178|GO:0005488|GO:0005515|GO:0005539|GO:0008047|GO:0008201|GO:0016504|GO:0017046|GO:0019899|GO:0019904|GO:0030234|GO:0030414|GO:0030545|GO:0030546|GO:0030548|GO:0030549|GO:0033130|GO:0033218|GO:0034185|GO:0042056|GO:0042277|GO:0042562|GO:0042802|GO:0042803|GO:0043167|GO:0043168|GO:0043169|GO:0043394|GO:0043395|GO:0044877|GO:0046872|GO:0046875|GO:0046914|GO:0046982|GO:0046983|GO:0048018|GO:0050750|GO:0050839|GO:0051087|GO:0051425|GO:0061134|GO:0061135|GO:0070325|GO:0070851|GO:0097159|GO:0097367|GO:0097644|GO:0097645|GO:0098772|GO:0099602|GO:1901363|GO:1901681|GO:1904399
17	GO:0003674|GO:0003779|GO:0005198|GO:0005200|GO:0005488|GO:0005515|GO:0008092|GO:0044877
18	GO:0003674|GO:0005215|GO:0005216|GO:0005261|GO:0005272|GO:0008324|GO:0015075|GO:0015077|GO:0015081|GO:0015267|GO:0015276|GO:0015280|GO:0015318|GO:0022803|GO:0022834|GO:0022836|GO:0022838|GO:0022839|GO:0022857|GO:0022890|GO:0044736|GO:0046873|GO:0099094
19	GO:0003674|GO:0005215|GO:0005216|GO:0005261|GO:0005272|GO:0005488|GO:0005515|GO:0008324|GO:0008509|GO:0008514|GO:0015075|GO:0015077|GO:0015081|GO:0015267|GO:0015276|GO:0015280|GO:0015318|GO:0015343|GO:0019904|GO:0022803|GO:0022834|GO:0022836|GO:0022838|GO:0022839|GO:0022857|GO:0022890|GO:0030165|GO:0042931|GO:0044736|GO:0046873|GO:0051184|GO:0099094|GO:1901618
20	GO:0003674|GO:0003824|GO:0005488|GO:0005515|GO:0016740|GO:0019787|GO:0019899|GO:0042802|GO:0051020|GO:0140096
21	GO:0000166|GO:0003674|GO:0003824|GO:0004008|GO:0005215|GO:0005375|GO:0005488|GO:0005507|GO:0005524|GO:0008144|GO:0008324|GO:0015075|GO:0015318|GO:0015399|GO:0015405|GO:0015662|GO:0016462|GO:0016787|GO:0016817|GO:0016818|GO:0016887|GO:0017076|GO:0017111|GO:0019829|GO:0022804|GO:0022853|GO:0022857|GO:0022890|GO:0030554|GO:0032553|GO:0032555|GO:0032559|GO:0035639|GO:0036094|GO:0042623|GO:0042625|GO:0042626|GO:0043167|GO:0043168|GO:0043169|GO:0043492|GO:0043682|GO:0046872|GO:0046873|GO:0046914|GO:0046915|GO:0097159|GO:0097367|GO:1901265|GO:1901363
22	GO:0001653|GO:0003674|GO:0004888|GO:0004930|GO:0004947|GO:0005488|GO:0008528|GO:0033218|GO:0038023|GO:0042277|GO:0060089
23	GO:0001653|GO:0001664|GO:0002020|GO:0003674|GO:0003824|GO:0004435|GO:0004620|GO:0004629|GO:0004888|GO:0004930|GO:0004947|GO:0005102|GO:0005488|GO:0005515|GO:0008081|GO:0008528|GO:0016298|GO:0016787|GO:0016788|GO:0019899|GO:0031701|GO:0031702|GO:0038023|GO:0042578|GO:0046982|GO:0046983|GO:0060089
24	GO:0003674|GO:0005102|GO:0005126|GO:0005165|GO:0005167|GO:0005169|GO:0005488|GO:0005515|GO:0008083|GO:0030545|GO:0048018|GO:0098772
25	GO:0001664|GO:0003674|GO:0005102|GO:0005179|GO:0005488|GO:0005515|GO:0030545|GO:0031716|GO:0042802|GO:0044877|GO:0048018|GO:0098772
26	GO:0003674|GO:0005488|GO:0005515|GO:0019904|GO:0042802|GO:0042803|GO:0046983|GO:0050700
27	GO:0000049|GO:0000166|GO:0003674|GO:0003676|GO:0003723|GO:0003824|GO:0004812|GO:0004817|GO:0005488|GO:0005515|GO:0005524|GO:0008144|GO:0016874|GO:0016875|GO:0017076|GO:0030554|GO:0032553|GO:0032555|GO:0032559|GO:0035639|GO:0036094|GO:0042802|GO:0042803|GO:0043167|GO:0043168|GO:0043169|GO:0046872|GO:0046983|GO:0097159|GO:0097367|GO:0140098|GO:0140101|GO:1901265|GO:1901363
28	GO:0003674|GO:0003824|GO:0004175|GO:0004197|GO:0005488|GO:0005515|GO:0008047|GO:0008233|GO:0008234|GO:0008656|GO:0016504|GO:0016505|GO:0016787|GO:0019899|GO:0019900|GO:0019904|GO:0030234|GO:0042802|GO:0043028|GO:0050700|GO:0061134|GO:0070011|GO:0097153|GO:0098772|GO:0140096
29	GO:0003674|GO:0005102|GO:0005179|GO:0005184|GO:0005488|GO:0005515|GO:0030545|GO:0048018|GO:0098772
30	GO:0001664|GO:0003674|GO:0005102|GO:0005125|GO:0005126|GO:0005488|GO:0005515|GO:0008009|GO:0030545|GO:0031728|GO:0042379|GO:0046983|GO:0048018|GO:0048020|GO:0098772
31	GO:0001664|GO:0003674|GO:0005102|GO:0005125|GO:0005126|GO:0005488|GO:0005515|GO:0008009|GO:0030545|GO:0031729|GO:0042379|GO:0048018|GO:0048020|GO:0098772
32	GO:0001664|GO:0003674|GO:0005102|GO:0005125|GO:0005126|GO:0005488|GO:0005515|GO:0008009|GO:0030545|GO:0031732|GO:0031735|GO:0042379|GO:0048018|GO:0048020|GO:0098772
33	GO:0001664|GO:0003674|GO:0005102|GO:0005125|GO:0005126|GO:0005488|GO:0005515|GO:0008009|GO:0030545|GO:0031731|GO:0042379|GO:0048018|GO:0048020|GO:0098772
34	GO:0001664|GO:0003674|GO:0005102|GO:0005125|GO:0005126|GO:0005488|GO:0005515|GO:0008009|GO:0030545|GO:0031728|GO:0042379|GO:0048018|GO:0048020|GO:0098772
35	GO:0001664|GO:0003674|GO:0003824|GO:0004672|GO:0005102|GO:0005125|GO:0005126|GO:0005488|GO:0005515|GO:0008009|GO:0016301|GO:0016740|GO:0016772|GO:0016773|GO:0030545|GO:0031727|GO:0042379|GO:0048018|GO:0048020|GO:0098772|GO:0140096
36	GO:0001664|GO:0003674|GO:0003824|GO:0004672|GO:0004674|GO:0004697|GO:0004698|GO:0005102|GO:0005125|GO:0005126|GO:0005488|GO:0005515|GO:0008009|GO:0008047|GO:0009931|GO:0010857|GO:0016004|GO:0016301|GO:0016740|GO:0016772|GO:0016773|GO:0030234|GO:0030545|GO:0031726|GO:0031730|GO:0042056|GO:0042379|GO:0042802|GO:0048018|GO:0048020|GO:0060229|GO:0098772|GO:0140096
37	GO:0001664|GO:0003674|GO:0005102|GO:0005125|GO:0005126|GO:0005488|GO:0005515|GO:0008009|GO:0030545|GO:0031726|GO:0031730|GO:0042379|GO:0042802|GO:0048018|GO:0048020|GO:0098772
38	GO:0001664|GO:0003674|GO:0005102|GO:0005125|GO:0005126|GO:0005488|GO:0005515|GO:0005539|GO:0008009|GO:0008201|GO:0030545|GO:0031726|GO:0031727|GO:0042379|GO:0043167|GO:0043168|GO:0048018|GO:0048020|GO:0097367|GO:0098772|GO:1901681
39	GO:0001664|GO:0003674|GO:0003824|GO:0004672|GO:0005102|GO:0005125|GO:0005126|GO:0005488|GO:0005515|GO:0005539|GO:0008009|GO:0008047|GO:0008201|GO:0016004|GO:0016301|GO:0016740|GO:0016772|GO:0016773|GO:0030234|GO:0030545|GO:0042379|GO:0043167|GO:0043168|GO:0048018|GO:0048020|GO:0060229|GO:0097367|GO:0098772|GO:0140096|GO:1901681
40	GO:0001637|GO:0001653|GO:0003674|GO:0003824|GO:0004435|GO:0004620|GO:0004629|GO:0004888|GO:0004896|GO:0004930|GO:0004950|GO:0005488|GO:0005515|GO:0008081|GO:0008528|GO:0016298|GO:0016493|GO:0016787|GO:0016788|GO:0019955|GO:0019956|GO:0019957|GO:0035717|GO:0038023|GO:0042578|GO:0060089|GO:0071791
41	GO:0001637|GO:0001653|GO:0001664|GO:0003674|GO:0004888|GO:0004896|GO:0004930|GO:0004950|GO:0005102|GO:0005126|GO:0005488|GO:0005515|GO:0008528|GO:0016493|GO:0019955|GO:0019956|GO:0019957|GO:0031727|GO:0035715|GO:0035716|GO:0035717|GO:0038023|GO:0042379|GO:0042802|GO:0042803|GO:0046983|GO:0048020|GO:0060089
42	GO:0001637|GO:0001653|GO:0003674|GO:0004888|GO:0004896|GO:0004930|GO:0004950|GO:0008528|GO:0016493|GO:0038023|GO:0060089
43	GO:0003674|GO:0004888|GO:0005102|GO:0005198|GO:0005488|GO:0005515|GO:0017124|GO:0019899|GO:0019900|GO:0019901|GO:0019904|GO:0030159|GO:0032947|GO:0038023|GO:0042608|GO:0042802|GO:0042803|GO:0044877|GO:0046982|GO:0046983|GO:0060089
44	GO:0003674|GO:0005102|GO:0005125|GO:0005126|GO:0005164|GO:0005174|GO:0005488|GO:0005515|GO:0030545|GO:0032813|GO:0048018|GO:0098772
45	GO:0003674|GO:0004888|GO:0005215|GO:0005216|GO:0005230|GO:0005231|GO:0005261|GO:0005488|GO:0008144|GO:0008324|GO:0015075|GO:0015267|GO:0015276|GO:0015318|GO:0015464|GO:0022803|GO:0022824|GO:0022834|GO:0022835|GO:0022836|GO:0022838|GO:0022839|GO:0022848|GO:0022857|GO:0022890|GO:0030594|GO:0038023|GO:0042165|GO:0042166|GO:0042562|GO:0043167|GO:0043169|GO:0060089|GO:0070405|GO:0098960|GO:0099094|GO:0099529|GO:1904315
46	GO:0003674|GO:0004888|GO:0005215|GO:0005216|GO:0005230|GO:0005231|GO:0005261|GO:0005488|GO:0005515|GO:0008144|GO:0008324|GO:0015075|GO:0015267|GO:0015276|GO:0015318|GO:0015464|GO:0022803|GO:0022824|GO:0022834|GO:0022835|GO:0022836|GO:0022838|GO:0022839|GO:0022848|GO:0022857|GO:0022890|GO:0030594|GO:0038023|GO:0042165|GO:0042166|GO:0042562|GO:0043167|GO:0043169|GO:0046982|GO:0046983|GO:0060089|GO:0070405|GO:0098960|GO:0099094|GO:0099529|GO:1904315
47	GO:0003674|GO:0003676|GO:0003723|GO:0003729|GO:0003730|GO:0005488|GO:0019843|GO:0030371|GO:0045182|GO:0070181|GO:0097159|GO:1901363
48	GO:0003674|GO:0005488|GO:0005515|GO:0042802|GO:0042803|GO:0046983
49	GO:0002020|GO:0003674|GO:0003676|GO:0003723|GO:0003725|GO:0005102|GO:0005198|GO:0005488|GO:0005515|GO:0019899|GO:0019900|GO:0019901|GO:0019904|GO:0030276|GO:0032051|GO:0050750|GO:0070325|GO:0097159|GO:0097718|GO:1901363|GO:1990381
50	GO:0003674|GO:0005102|GO:0005488|GO:0005515|GO:0019838|GO:0042287|GO:0042289|GO:0042802|GO:0043167|GO:0043169|GO:0046872|GO:0048407
51	GO:0003674|GO:0004888|GO:0004930|GO:0015056|GO:0038023|GO:0060089
52	GO:0001846|GO:0001848|GO:0001849|GO:0003674|GO:0005102|GO:0005488|GO:0005509|GO:0005515|GO:0030169|GO:0033265|GO:0042165|GO:0042802|GO:0043167|GO:0043169|GO:0044877|GO:0046872|GO:0050750|GO:0070325|GO:0070405|GO:0071813|GO:0071814
53	GO:0003674|GO:0003824|GO:0004672|GO:0004713|GO:0005085|GO:0005088|GO:0005102|GO:0005125|GO:0005126|GO:0005129|GO:0005488|GO:0005515|GO:0008083|GO:0016301|GO:0016740|GO:0016772|GO:0016773|GO:0017016|GO:0019899|GO:0030545|GO:0031267|GO:0048018|GO:0051020|GO:0070851|GO:0098772|GO:0140096
